//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.008930
-1.05000000 -1.05000000 -0.90000000 0.016514
-1.05000000 -1.05000000 -0.75000000 0.027363
-1.05000000 -1.05000000 -0.60000000 0.041260
-1.05000000 -1.05000000 -0.45000000 0.047981
-1.05000000 -1.05000000 -0.30000000 0.077699
-1.05000000 -1.05000000 -0.15000000 0.281259
-1.05000000 -1.05000000 0.00000000 0.421098
-1.05000000 -1.05000000 0.15000000 0.264368
-1.05000000 -1.05000000 0.30000000 0.034725
-1.05000000 -1.05000000 0.45000000 0.009686
-1.05000000 -1.05000000 0.60000000 0.005760
-1.05000000 -1.05000000 0.75000000 0.002689
-1.05000000 -1.05000000 0.90000000 0.001308
-1.05000000 -1.05000000 1.05000000 0.001275
-1.05000000 -0.90000000 -1.05000000 0.008670
-1.05000000 -0.90000000 -0.90000000 0.016161
-1.05000000 -0.90000000 -0.75000000 0.026988
-1.05000000 -0.90000000 -0.60000000 0.041217
-1.05000000 -0.90000000 -0.45000000 0.048288
-1.05000000 -0.90000000 -0.30000000 0.077820
-1.05000000 -0.90000000 -0.15000000 0.277146
-1.05000000 -0.90000000 0.00000000 0.422148
-1.05000000 -0.90000000 0.15000000 0.269323
-1.05000000 -0.90000000 0.30000000 0.035212
-1.05000000 -0.90000000 0.45000000 0.009696
-1.05000000 -0.90000000 0.60000000 0.005855
-1.05000000 -0.90000000 0.75000000 0.002772
-1.05000000 -0.90000000 0.90000000 0.001285
-1.05000000 -0.90000000 1.05000000 0.001225
-1.05000000 -0.75000000 -1.05000000 0.008589
-1.05000000 -0.75000000 -0.90000000 0.015787
-1.05000000 -0.75000000 -0.75000000 0.026633
-1.05000000 -0.75000000 -0.60000000 0.041206
-1.05000000 -0.75000000 -0.45000000 0.048700
-1.05000000 -0.75000000 -0.30000000 0.078307
-1.05000000 -0.75000000 -0.15000000 0.273670
-1.05000000 -0.75000000 0.00000000 0.423140
-1.05000000 -0.75000000 0.15000000 0.274511
-1.05000000 -0.75000000 0.30000000 0.035844
-1.05000000 -0.75000000 0.45000000 0.009732
-1.05000000 -0.75000000 0.60000000 0.005971
-1.05000000 -0.75000000 0.75000000 0.002876
-1.05000000 -0.75000000 0.90000000 0.001307
-1.05000000 -0.75000000 1.05000000 0.001187
-1.05000000 -0.60000000 -1.05000000 0.008352
-1.05000000 -0.60000000 -0.90000000 0.015513
-1.05000000 -0.60000000 -0.75000000 0.026258
-1.05000000 -0.60000000 -0.60000000 0.041107
-1.05000000 -0.60000000 -0.45000000 0.048921
-1.05000000 -0.60000000 -0.30000000 0.078818
-1.05000000 -0.60000000 -0.15000000 0.269672
-1.05000000 -0.60000000 0.00000000 0.423664
-1.05000000 -0.60000000 0.15000000 0.278738
-1.05000000 -0.60000000 0.30000000 0.036696
-1.05000000 -0.60000000 0.45000000 0.009714
-1.05000000 -0.60000000 0.60000000 0.005944
-1.05000000 -0.60000000 0.75000000 0.002870
-1.05000000 -0.60000000 0.90000000 0.001312
-1.05000000 -0.60000000 1.05000000 0.001126
-1.05000000 -0.45000000 -1.05000000 0.008173
-1.05000000 -0.45000000 -0.90000000 0.015395
-1.05000000 -0.45000000 -0.75000000 0.026105
-1.05000000 -0.45000000 -0.60000000 0.041041
-1.05000000 -0.45000000 -0.45000000 0.049321
-1.05000000 -0.45000000 -0.30000000 0.079366
-1.05000000 -0.45000000 -0.15000000 0.265831
-1.05000000 -0.45000000 0.00000000 0.424159
-1.05000000 -0.45000000 0.15000000 0.283252
-1.05000000 -0.45000000 0.30000000 0.037663
-1.05000000 -0.45000000 0.45000000 0.009727
-1.05000000 -0.45000000 0.60000000 0.006024
-1.05000000 -0.45000000 0.75000000 0.002834
-1.05000000 -0.45000000 0.90000000 0.001298
-1.05000000 -0.45000000 1.05000000 0.001158
-1.05000000 -0.30000000 -1.05000000 0.008027
-1.05000000 -0.30000000 -0.90000000 0.015109
-1.05000000 -0.30000000 -0.75000000 0.025754
-1.05000000 -0.30000000 -0.60000000 0.040832
-1.05000000 -0.30000000 -0.45000000 0.049851
-1.05000000 -0.30000000 -0.30000000 0.079839
-1.05000000 -0.30000000 -0.15000000 0.261811
-1.05000000 -0.30000000 0.00000000 0.424057
-1.05000000 -0.30000000 0.15000000 0.287564
-1.05000000 -0.30000000 0.30000000 0.038963
-1.05000000 -0.30000000 0.45000000 0.009778
-1.05000000 -0.30000000 0.60000000 0.006066
-1.05000000 -0.30000000 0.75000000 0.002819
-1.05000000 -0.30000000 0.90000000 0.001281
-1.05000000 -0.30000000 1.05000000 0.001183
-1.05000000 -0.15000000 -1.05000000 0.007776
-1.05000000 -0.15000000 -0.90000000 0.014798
-1.05000000 -0.15000000 -0.75000000 0.025424
-1.05000000 -0.15000000 -0.60000000 0.040638
-1.05000000 -0.15000000 -0.45000000 0.050167
-1.05000000 -0.15000000 -0.30000000 0.080334
-1.05000000 -0.15000000 -0.15000000 0.257548
-1.05000000 -0.15000000 0.00000000 0.424225
-1.05000000 -0.15000000 0.15000000 0.292111
-1.05000000 -0.15000000 0.30000000 0.040564
-1.05000000 -0.15000000 0.45000000 0.009853
-1.05000000 -0.15000000 0.60000000 0.006130
-1.05000000 -0.15000000 0.75000000 0.002849
-1.05000000 -0.15000000 0.90000000 0.001291
-1.05000000 -0.15000000 1.05000000 0.001146
-1.05000000 0.00000000 -1.05000000 0.007534
-1.05000000 0.00000000 -0.90000000 0.014335
-1.05000000 0.00000000 -0.75000000 0.025115
-1.05000000 0.00000000 -0.60000000 0.040422
-1.05000000 0.00000000 -0.45000000 0.050630
-1.05000000 0.00000000 -0.30000000 0.080844
-1.05000000 0.00000000 -0.15000000 0.253045
-1.05000000 0.00000000 0.00000000 0.423518
-1.05000000 0.00000000 0.15000000 0.296026
-1.05000000 0.00000000 0.30000000 0.042485
-1.05000000 0.00000000 0.45000000 0.009847
-1.05000000 0.00000000 0.60000000 0.006104
-1.05000000 0.00000000 0.75000000 0.002942
-1.05000000 0.00000000 0.90000000 0.001302
-1.05000000 0.00000000 1.05000000 0.001173
-1.05000000 0.15000000 -1.05000000 0.007372
-1.05000000 0.15000000 -0.90000000 0.014015
-1.05000000 0.15000000 -0.75000000 0.024717
-1.05000000 0.15000000 -0.60000000 0.039944
-1.05000000 0.15000000 -0.45000000 0.050735
-1.05000000 0.15000000 -0.30000000 0.081264
-1.05000000 0.15000000 -0.15000000 0.248380
-1.05000000 0.15000000 0.00000000 0.422760
-1.05000000 0.15000000 0.15000000 0.299810
-1.05000000 0.15000000 0.30000000 0.044668
-1.05000000 0.15000000 0.45000000 0.009855
-1.05000000 0.15000000 0.60000000 0.006099
-1.05000000 0.15000000 0.75000000 0.002956
-1.05000000 0.15000000 0.90000000 0.001357
