//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.047791
-1.05000000 -1.05000000 -0.90000000 0.061502
-1.05000000 -1.05000000 -0.75000000 0.083084
-1.05000000 -1.05000000 -0.60000000 0.101057
-1.05000000 -1.05000000 -0.45000000 0.127541
-1.05000000 -1.05000000 -0.30000000 0.298096
-1.05000000 -1.05000000 -0.15000000 0.538245
-1.05000000 -1.05000000 0.00000000 0.550750
-1.05000000 -1.05000000 0.15000000 0.484527
-1.05000000 -1.05000000 0.30000000 0.229703
-1.05000000 -1.05000000 0.45000000 0.045380
-1.05000000 -1.05000000 0.60000000 0.030322
-1.05000000 -1.05000000 0.75000000 0.023018
-1.05000000 -1.05000000 0.90000000 0.017072
-1.05000000 -1.05000000 1.05000000 0.014166
-1.05000000 -0.90000000 -1.05000000 0.047566
-1.05000000 -0.90000000 -0.90000000 0.061650
-1.05000000 -0.90000000 -0.75000000 0.082852
-1.05000000 -0.90000000 -0.60000000 0.101501
-1.05000000 -0.90000000 -0.45000000 0.128161
-1.05000000 -0.90000000 -0.30000000 0.294852
-1.05000000 -0.90000000 -0.15000000 0.539042
-1.05000000 -0.90000000 0.00000000 0.552411
-1.05000000 -0.90000000 0.15000000 0.486745
-1.05000000 -0.90000000 0.30000000 0.235020
-1.05000000 -0.90000000 0.45000000 0.045561
-1.05000000 -0.90000000 0.60000000 0.030098
-1.05000000 -0.90000000 0.75000000 0.022913
-1.05000000 -0.90000000 0.90000000 0.016889
-1.05000000 -0.90000000 1.05000000 0.014053
-1.05000000 -0.75000000 -1.05000000 0.047606
-1.05000000 -0.75000000 -0.90000000 0.061583
-1.05000000 -0.75000000 -0.75000000 0.082868
-1.05000000 -0.75000000 -0.60000000 0.102188
-1.05000000 -0.75000000 -0.45000000 0.129179
-1.05000000 -0.75000000 -0.30000000 0.291174
-1.05000000 -0.75000000 -0.15000000 0.539725
-1.05000000 -0.75000000 0.00000000 0.554200
-1.05000000 -0.75000000 0.15000000 0.488891
-1.05000000 -0.75000000 0.30000000 0.240135
-1.05000000 -0.75000000 0.45000000 0.045696
-1.05000000 -0.75000000 0.60000000 0.030093
-1.05000000 -0.75000000 0.75000000 0.022703
-1.05000000 -0.75000000 0.90000000 0.016858
-1.05000000 -0.75000000 1.05000000 0.013881
-1.05000000 -0.60000000 -1.05000000 0.047624
-1.05000000 -0.60000000 -0.90000000 0.061418
-1.05000000 -0.60000000 -0.75000000 0.082949
-1.05000000 -0.60000000 -0.60000000 0.102835
-1.05000000 -0.60000000 -0.45000000 0.130056
-1.05000000 -0.60000000 -0.30000000 0.287458
-1.05000000 -0.60000000 -0.15000000 0.539976
-1.05000000 -0.60000000 0.00000000 0.555689
-1.05000000 -0.60000000 0.15000000 0.491184
-1.05000000 -0.60000000 0.30000000 0.245890
-1.05000000 -0.60000000 0.45000000 0.045919
-1.05000000 -0.60000000 0.60000000 0.029944
-1.05000000 -0.60000000 0.75000000 0.022804
-1.05000000 -0.60000000 0.90000000 0.016948
-1.05000000 -0.60000000 1.05000000 0.013897
-1.05000000 -0.45000000 -1.05000000 0.047503
-1.05000000 -0.45000000 -0.90000000 0.061159
-1.05000000 -0.45000000 -0.75000000 0.083038
-1.05000000 -0.45000000 -0.60000000 0.103625
-1.05000000 -0.45000000 -0.45000000 0.130487
-1.05000000 -0.45000000 -0.30000000 0.284000
-1.05000000 -0.45000000 -0.15000000 0.539960
-1.05000000 -0.45000000 0.00000000 0.557576
-1.05000000 -0.45000000 0.15000000 0.493112
-1.05000000 -0.45000000 0.30000000 0.251388
-1.05000000 -0.45000000 0.45000000 0.046114
-1.05000000 -0.45000000 0.60000000 0.029919
-1.05000000 -0.45000000 0.75000000 0.022970
-1.05000000 -0.45000000 0.90000000 0.016999
-1.05000000 -0.45000000 1.05000000 0.013840
-1.05000000 -0.30000000 -1.05000000 0.047262
-1.05000000 -0.30000000 -0.90000000 0.061000
-1.05000000 -0.30000000 -0.75000000 0.082717
-1.05000000 -0.30000000 -0.60000000 0.103997
-1.05000000 -0.30000000 -0.45000000 0.131308
-1.05000000 -0.30000000 -0.30000000 0.279991
-1.05000000 -0.30000000 -0.15000000 0.540410
-1.05000000 -0.30000000 0.00000000 0.559542
-1.05000000 -0.30000000 0.15000000 0.495123
-1.05000000 -0.30000000 0.30000000 0.258112
-1.05000000 -0.30000000 0.45000000 0.046659
-1.05000000 -0.30000000 0.60000000 0.029820
-1.05000000 -0.30000000 0.75000000 0.023151
-1.05000000 -0.30000000 0.90000000 0.017072
-1.05000000 -0.30000000 1.05000000 0.013995
-1.05000000 -0.15000000 -1.05000000 0.046686
-1.05000000 -0.15000000 -0.90000000 0.060264
-1.05000000 -0.15000000 -0.75000000 0.082036
-1.05000000 -0.15000000 -0.60000000 0.104212
-1.05000000 -0.15000000 -0.45000000 0.132327
-1.05000000 -0.15000000 -0.30000000 0.276478
-1.05000000 -0.15000000 -0.15000000 0.540080
-1.05000000 -0.15000000 0.00000000 0.560973
-1.05000000 -0.15000000 0.15000000 0.496608
-1.05000000 -0.15000000 0.30000000 0.264787
-1.05000000 -0.15000000 0.45000000 0.047583
-1.05000000 -0.15000000 0.60000000 0.030109
-1.05000000 -0.15000000 0.75000000 0.023294
-1.05000000 -0.15000000 0.90000000 0.017344
-1.05000000 -0.15000000 1.05000000 0.014019
-1.05000000 0.00000000 -1.05000000 0.045739
-1.05000000 0.00000000 -0.90000000 0.059442
-1.05000000 0.00000000 -0.75000000 0.081096
-1.05000000 0.00000000 -0.60000000 0.103897
-1.05000000 0.00000000 -0.45000000 0.133069
-1.05000000 0.00000000 -0.30000000 0.273158
-1.05000000 0.00000000 -0.15000000 0.538628
-1.05000000 0.00000000 0.00000000 0.561331
-1.05000000 0.00000000 0.15000000 0.497590
-1.05000000 0.00000000 0.30000000 0.271101
-1.05000000 0.00000000 0.45000000 0.048645
-1.05000000 0.00000000 0.60000000 0.030464
-1.05000000 0.00000000 0.75000000 0.023416
-1.05000000 0.00000000 0.90000000 0.017657
-1.05000000 0.00000000 1.05000000 0.014147
-1.05000000 0.15000000 -1.05000000 0.044904
-1.05000000 0.15000000 -0.90000000 0.058558
-1.05000000 0.15000000 -0.75000000 0.080008
-1.05000000 0.15000000 -0.60000000 0.103484
-1.05000000 0.15000000 -0.45000000 0.133451
-1.05000000 0.15000000 -0.30000000 0.269061
-1.05000000 0.15000000 -0.15000000 0.536664
-1.05000000 0.15000000 0.00000000 0.561169
-1.05000000 0.15000000 0.15000000 0.497628
-1.05000000 0.15000000 0.30000000 0.277188
-1.05000000 0.15000000 0.45000000 0.049500
-1.05000000 0.15000000 0.60000000 0.030875
-1.05000000 0.15000000 0.75000000 0.023708
-1.05000000 0.15000000 0.90000000 0.017863
-1.05000000 0.15000000 1.05000000 0.014309
-1.05000000 0.30000000 -1.05000000 0.044235
-1.05000000 0.30000000 -0.90000000 0.057350
-1.05000000 0.30000000 -0.75000000 0.078843
-1.05000000 0.30000000 -0.60000000 0.102968
-1.05000000 0.30000000 -0.45000000 0.133357
-1.05000000 0.30000000 -0.30000000 0.265084
-1.05000000 0.30000000 -0.15000000 0.534000
-1.05000000 0.30000000 0.00000000 0.560179
-1.05000000 0.30000000 0.15000000 0.497561
-1.05000000 0.30000000 0.30000000 0.283038
-1.05000000 0.30000000 0.45000000 0.050222
-1.05000000 0.30000000 0.60000000 0.030994
-1.05000000 0.30000000 0.75000000 0.024029
-1.05000000 0.30000000 0.90000000 0.018165
-1.05000000 0.30000000 1.05000000 0.014720
-1.05000000 0.45000000 -1.05000000 0.043501
-1.05000000 0.45000000 -0.90000000 0.056235
-1.05000000 0.45000000 -0.75000000 0.077762
-1.05000000 0.45000000 -0.60000000 0.101945
-1.05000000 0.45000000 -0.45000000 0.133256
-1.05000000 0.45000000 -0.30000000 0.260631
-1.05000000 0.45000000 -0.15000000 0.530585
