//X Y Z Consensus 
0.40000000 0.10000000 -0.50000000 0.000000
0.40000000 0.20000000 -0.50000000 0.000000
0.50000000 0.20000000 -0.40000000 0.000000
-0.10000000 0.20000000 -0.40000000 0.001000
-0.50000000 0.40000000 -0.40000000 0.001000
-0.50000000 0.40000000 -0.50000000 0.001000
0.30000000 0.10000000 -0.40000000 0.001000
0.40000000 -0.40000000 -0.10000000 0.001000
0.40000000 -0.50000000 0.10000000 0.001000
0.40000000 -0.50000000 0.20000000 0.001000
0.40000000 0.20000000 -0.40000000 0.001000
0.50000000 0.10000000 -0.50000000 0.001000
0.50000000 0.20000000 -0.50000000 0.001000
-0.10000000 0.10000000 -0.50000000 0.002000
-0.20000000 0.20000000 -0.50000000 0.002000
-0.20000000 0.30000000 -0.30000000 0.002000
-0.40000000 0.30000000 -0.40000000 0.002000
-0.40000000 0.30000000 -0.50000000 0.002000
-0.40000000 0.40000000 -0.30000000 0.002000
-0.40000000 0.40000000 -0.40000000 0.002000
-0.50000000 -0.20000000 -0.50000000 0.002000
-0.50000000 0.30000000 -0.50000000 0.002000
-0.50000000 0.40000000 -0.30000000 0.002000
-0.50000000 0.50000000 -0.40000000 0.002000
0.00000000 0.50000000 0.40000000 0.002000
0.10000000 0.00000000 -0.30000000 0.002000
0.10000000 0.30000000 0.50000000 0.002000
0.10000000 0.50000000 0.40000000 0.002000
0.10000000 0.50000000 0.50000000 0.002000
0.20000000 -0.40000000 -0.10000000 0.002000
0.20000000 0.00000000 -0.50000000 0.002000
0.20000000 0.50000000 0.40000000 0.002000
0.30000000 -0.40000000 -0.10000000 0.002000
0.30000000 -0.50000000 0.10000000 0.002000
0.30000000 0.10000000 -0.50000000 0.002000
0.30000000 0.20000000 -0.40000000 0.002000
0.30000000 0.20000000 -0.50000000 0.002000
0.40000000 -0.40000000 0.00000000 0.002000
0.40000000 -0.40000000 0.10000000 0.002000
0.40000000 -0.40000000 0.20000000 0.002000
0.40000000 -0.50000000 -0.10000000 0.002000
0.40000000 0.10000000 -0.40000000 0.002000
0.40000000 0.50000000 0.50000000 0.002000
0.50000000 -0.20000000 0.20000000 0.002000
0.50000000 -0.40000000 0.10000000 0.002000
0.50000000 -0.50000000 0.20000000 0.002000
0.50000000 -0.50000000 0.30000000 0.002000
0.50000000 0.10000000 -0.40000000 0.002000
0.50000000 0.30000000 -0.50000000 0.002000
-0.10000000 -0.20000000 -0.50000000 0.003000
-0.10000000 0.10000000 -0.40000000 0.003000
-0.10000000 0.20000000 -0.30000000 0.003000
-0.10000000 0.20000000 -0.50000000 0.003000
-0.10000000 0.20000000 0.50000000 0.003000
-0.10000000 0.30000000 -0.30000000 0.003000
-0.10000000 0.30000000 -0.40000000 0.003000
-0.20000000 0.30000000 -0.40000000 0.003000
-0.20000000 0.40000000 -0.30000000 0.003000
-0.30000000 0.20000000 -0.40000000 0.003000
-0.30000000 0.30000000 -0.50000000 0.003000
-0.30000000 0.40000000 -0.20000000 0.003000
-0.30000000 0.40000000 -0.30000000 0.003000
-0.40000000 0.00000000 -0.50000000 0.003000
-0.40000000 0.10000000 -0.50000000 0.003000
-0.40000000 0.20000000 -0.50000000 0.003000
-0.40000000 0.40000000 -0.20000000 0.003000
-0.40000000 0.40000000 -0.50000000 0.003000
-0.40000000 0.50000000 -0.30000000 0.003000
-0.50000000 -0.30000000 -0.50000000 0.003000
-0.50000000 -0.40000000 -0.50000000 0.003000
-0.50000000 0.00000000 -0.50000000 0.003000
-0.50000000 0.20000000 -0.50000000 0.003000
-0.50000000 0.30000000 -0.40000000 0.003000
-0.50000000 0.50000000 -0.30000000 0.003000
-0.50000000 0.50000000 -0.50000000 0.003000
0.00000000 -0.10000000 -0.50000000 0.003000
0.00000000 -0.50000000 -0.10000000 0.003000
0.00000000 0.00000000 -0.50000000 0.003000
0.00000000 0.10000000 -0.40000000 0.003000
0.00000000 0.10000000 -0.50000000 0.003000
0.00000000 0.20000000 -0.30000000 0.003000
0.00000000 0.30000000 0.50000000 0.003000
0.00000000 0.40000000 -0.10000000 0.003000
0.00000000 0.40000000 0.40000000 0.003000
0.10000000 -0.10000000 -0.30000000 0.003000
0.10000000 -0.10000000 -0.40000000 0.003000
0.10000000 -0.10000000 -0.50000000 0.003000
0.10000000 -0.20000000 -0.30000000 0.003000
0.10000000 -0.20000000 -0.40000000 0.003000
0.10000000 -0.30000000 -0.20000000 0.003000
0.10000000 -0.30000000 -0.40000000 0.003000
0.10000000 -0.40000000 -0.20000000 0.003000
0.10000000 -0.40000000 -0.30000000 0.003000
0.10000000 -0.40000000 -0.40000000 0.003000
0.10000000 -0.50000000 -0.10000000 0.003000
0.10000000 -0.50000000 -0.20000000 0.003000
0.10000000 -0.50000000 -0.30000000 0.003000
0.10000000 -0.50000000 0.00000000 0.003000
0.10000000 0.00000000 -0.40000000 0.003000
0.10000000 0.00000000 -0.50000000 0.003000
